Full Name,Employment Sector,Job Title,Current Monthly Salary (USD),Total Previous Loans,Active Loans,Total Outstanding Balance (USD),Avg Loan Amount (USD),Common Loan Reason,Historical Return Rate (%),Days Past Due (Max),MFI Diversity Score,Risk Label
Makanaka O. Moyo,Retail,Shop Assistant,913,1,2,254,204,Emergency,93,6,3,Medium
Panashe P. Phiri,Transport,Kombi Driver,871,8,2,1095,1027,Medical,85,87,4,High
Chipo T. Chidambaram,Public Sector,Customs Clerk,851,0,0,0,337,Medical,99,0,3,Low
Sizo W. Ndlovu,Education,Department Head,875,0,1,1271,1067,Input Financing,100,0,1,Low
Simba J. Gumbo,Agriculture,Agro-dealer,974,1,0,0,900,Utility Debt,99,0,1,Low
Kuda T. Zhuwao,Health,Pharmacist Assistant,1532,8,1,1353,1197,Medical,79,127,4,High
Rufaro R. Nyathi,Education,Teacher,1447,6,1,1236,1143,School Fees,91,26,3,Medium
Tapiwa H. Tshuma,Agriculture,Farm Manager,442,0,1,530,565,Asset Financing,90,5,2,Medium
Njabulo N. Madzima,Public Sector,ZIMRA Officer,267,0,0,0,869,Solar Equipment,97,0,1,Low
Tendai R. Mhlanga,Mining,Driller,933,10,2,1906,1058,Solar Equipment,99,0,2,Low
Musa X. Hlongwane,Agriculture,Agro-dealer,537,5,5,1757,628,Utility Debt,88,8,3,Medium
Gugulethu R. Mwenje,Health,Medical Officer,1493,2,0,0,396,Medical,98,0,2,Low
Nomsa Dube 61,Public Sector,Customs Clerk,858,4,2,1023,748,Input Financing,97,5,3,Low
Farai A. Mwenje,Transport,Truck Driver,902,0,0,0,1155,Emergency,97,0,2,Low
Vimbai P. Ncube,Retail,Merchandiser,768,5,3,1475,860,Small Business,99,0,3,Low
Vimbai J. Muzenda,Agriculture,Farm Manager,962,3,0,0,1083,Asset Financing,97,0,1,Low
Tariro E. Chuma,Health,Medical Officer,2143,10,5,1370,315,Utility Debt,97,2,1,Low
Munyaradzi T. Muzenda,Retail,Buyer,881,3,3,276,171,Emergency,100,0,3,Low
Anesu U. Chuma,Health,Lab Tech,1090,8,4,5120,1146,Utility Debt,98,0,2,Low
Thabo D. Sibanda,Manufacturing,Welder,417,0,0,0,891,School Fees,99,0,1,Low
Takudzwa Y. Hlongwane,Health,Medical Officer,1508,8,6,4012,726,Solar Equipment,56,45,3,High
Chengetai N. Maphosa,Transport,Kombi Driver,935,8,2,2238,1050,School Fees,92,8,3,Medium
Anesu Zhuwao,Retail,Shop Assistant,896,5,5,3785,708,Medical,97,0,3,Low
Kudakwashe S. Ncube,Public Sector,ZIMRA Officer,499,6,4,1001,390,Medical,50,52,5,High
Tariro A. Mwenje,Retail,Merchandiser,940,4,2,534,387,Emergency,85,40,3,High
Panashe W. Nyathi,Public Sector,Customs Clerk,610,1,1,379,747,School Fees,98,0,1,Low
Farai S. Phiri,Health,Lab Tech,1590,4,3,1787,566,Asset Financing,88,26,3,Medium
Gugulethu Nyathi 62,Retail,Merchandiser,513,5,3,1918,716,Solar Equipment,96,0,1,Low
Blessing X. Muzenda,Retail,Shop Assistant,575,9,6,3374,618,Solar Equipment,99,0,1,Low
Chipo P. Mutasa,Transport,Logistics,886,0,1,1054,1018,Asset Financing,100,0,2,Low
Sizo X. Mutasa,Mining,Driller,1608,1,1,418,361,Medical,97,0,1,Low
Gugulethu J. Mhlanga,Retail,Shop Assistant,471,9,5,1088,268,Input Financing,70,36,4,High
Tatenda J. Chuma,Health,Lab Tech,1168,9,5,4652,953,Small Business,100,4,1,Low
Enock J. Hlongwane,Retail,Shop Assistant,277,2,2,1457,956,Home Improvement,88,19,4,Medium
Rudo A. Marembo,Education,Principal,1264,5,1,803,782,Asset Financing,86,22,2,Medium
Thabo G. Sithole,Public Sector,ZRP Sergeant,381,8,0,0,610,Asset Financing,95,26,2,Medium
Munyaradzi J. Khumalo,Transport,Truck Driver,928,6,2,1117,968,Medical,95,20,2,Medium
Panashe S. Ndlovu,Education,Department Head,909,3,4,3626,969,Solar Equipment,96,0,2,Low
Tinashe G. Sibanda,Education,Principal,2059,1,1,1327,1176,Medical,86,28,2,Medium
Musa Z. Sibanda,Education,Department Head,2056,9,4,1001,280,Asset Financing,97,0,2,Low
Vimbai V. Zhuwao,Education,Department Head,2157,6,4,4213,885,Asset Financing,99,4,3,Low
Itayi Mwenje 63,Agriculture,Agro-dealer,574,2,0,0,1125,Emergency,96,0,3,Low
Vimbai Z. Zhou,Mining,Shift Boss,909,3,2,1005,792,Asset Financing,98,0,1,Low
Takudzwa T. Muzenda,Public Sector,Admin Secretary,293,9,1,329,444,Solar Equipment,98,0,3,Low
Chipo H. Chuma,Transport,Truck Driver,930,1,2,1136,714,Emergency,69,87,3,High
Tapiwa Moyo,Health,Nurse,1025,8,4,3030,840,School Fees,100,0,2,Low
Blessing N. Sibanda,Public Sector,ZRP Sergeant,813,4,1,552,710,Input Financing,86,30,3,Medium
Takudzwa F. Maphosa,Manufacturing,Factory Hand,262,6,5,2615,1023,Emergency,96,0,2,Low
Rudo Dube,Mining,Shift Boss,1242,8,0,0,890,Solar Equipment,90,17,3,Medium
Dumisani G. Mpofu,Mining,Driller,976,0,1,1195,1036,School Fees,100,0,1,Low
Blessing K. Chikore,Education,Teacher,1105,9,1,427,486,Small Business,95,22,3,Medium
Tendai A. Dube,Mining,Shift Boss,1152,0,1,309,375,Home Improvement,97,1,1,Low
Nomsa C. Gumbo,Mining,Shift Boss,1030,2,1,368,358,School Fees,70,43,5,High
Rufaro G. Chidambaram,Agriculture,Farm Manager,983,8,0,0,531,Small Business,94,10,2,Medium
Nyasha F. Maphosa,Health,Nurse,1613,2,0,0,577,Utility Debt,88,23,2,Medium
Tinashe W. Mutasa,Transport,Truck Driver,298,2,2,451,381,Small Business,65,145,4,High
Musa W. Sibanda,Manufacturing,Factory Hand,544,9,1,970,896,Medical,96,0,2,Low
Nyasha I. Muzenda,Manufacturing,Line Supervisor,883,8,6,3224,500,Utility Debt,92,25,2,Medium
Musa S. Phiri,Retail,Shop Assistant,615,4,3,2700,1063,Emergency,95,18,4,Medium
Gugulethu V. Maphosa,Retail,Shop Assistant,814,7,6,4802,698,Solar Equipment,97,0,1,Low
Tinashe F. Makoni,Health,Pharmacist Assistant,1032,7,2,777,473,Small Business,51,123,5,High
Takudzwa P. Makoni,Education,Principal,2062,0,1,136,262,Medical,96,0,1,Low
Makanaka Y. Zhuwao,Health,Nurse,1253,8,2,435,254,Home Improvement,98,0,2,Low
Gugulethu Chikore,Agriculture,Tobacco Smallholder,973,8,6,2465,566,Small Business,100,0,3,Low
Panashe B. Ncube,Public Sector,Teacher,393,0,1,973,941,Home Improvement,99,0,2,Low
Tinashe E. Ndlovu,Transport,Truck Driver,750,0,0,0,415,Utility Debt,93,17,2,Medium
Kuda C. Masinga,Agriculture,Tobacco Smallholder,284,0,0,0,290,Solar Equipment,94,24,3,Medium
Blessing X. Sibanda,Retail,Buyer,453,5,3,3322,963,Medical,88,23,4,Medium
Vimbai Y. Mutasa,Public Sector,ZIMRA Officer,750,10,3,1872,651,School Fees,96,4,3,Low
Itayi A. Nyathi,Mining,Shift Boss,2142,3,3,2657,976,Input Financing,89,27,3,Medium
Chipo W. Maphosa,Mining,Shift Boss,1236,4,4,1952,414,Asset Financing,99,0,2,Low
Tendai B. Chikore,Education,Teacher,1680,10,3,722,248,Home Improvement,97,0,2,Low
Tendai K. Zhuwao,Retail,Shop Assistant,426,10,4,2857,640,Small Business,74,116,5,High
Gugulethu J. Bhebhe,Education,Teacher,1490,7,3,476,222,Small Business,97,0,3,Low
Tapiwa B. Khumalo,Agriculture,Farm Manager,769,4,1,276,265,Home Improvement,100,3,3,Low
Njabulo V. Mpofu,Education,Department Head,863,3,4,2973,1013,Utility Debt,88,26,4,Medium
Tariro Z. Mutambara,Education,Teacher,1911,2,2,1014,552,School Fees,92,26,4,Medium
Nyasha B. Gumbo,Agriculture,Farm Manager,660,4,5,4186,972,Solar Equipment,83,45,3,High
Chipo B. Gumbo,Transport,Logistics,445,4,1,133,184,Solar Equipment,67,106,4,High
Rudo Q. Dube,Retail,Merchandiser,637,8,6,5603,1084,Home Improvement,87,22,4,Medium
Rudo Q. Phiri,Manufacturing,Factory Hand,284,7,4,3957,864,Solar Equipment,97,0,2,Low
Nomsa F. Dube,Public Sector,Admin Secretary,746,8,0,0,477,Small Business,96,0,1,Low
Tariro Zhuwao 64,Health,Nurse,2150,7,6,1897,402,Home Improvement,100,0,3,Low
Sizo Moyo,Public Sector,Admin Secretary,537,6,1,981,1013,Asset Financing,96,0,2,Low
Panashe C. Chidambaram,Health,Pharmacist Assistant,1919,0,1,643,861,Home Improvement,98,0,2,Low
Gugulethu Sibanda 65,Education,Principal,1654,2,3,1401,704,School Fees,94,27,2,Medium
Itayi Mwenje 66,Agriculture,Tobacco Smallholder,567,10,3,3323,1097,Medical,100,0,1,Low
Munyaradzi V. Bhebhe,Manufacturing,Factory Hand,793,8,0,0,718,Medical,98,0,1,Low
Sizo Mpofu 67,Education,Teacher,1731,3,3,744,347,School Fees,59,120,3,High
Tariro Mpofu 68,Public Sector,Customs Clerk,701,6,6,4637,993,Medical,93,22,3,Medium
Takudzwa U. Ncube,Mining,Underground Supervisor,1991,5,4,2036,429,School Fees,87,10,2,Medium
Musa O. Zuma,Public Sector,ZRP Sergeant,513,0,1,161,167,Medical,91,14,3,Medium
Nomsa T. Nyathi,Public Sector,Teacher,888,8,4,2145,668,Emergency,98,0,1,Low
Anesu G. Khumalo,Education,Principal,2173,4,3,1827,907,Small Business,96,0,1,Low
Tatenda Chikore,Health,Lab Tech,1004,6,6,7353,1163,Emergency,98,0,2,Low
Tendai Q. Ndlovu,Transport,Logistics,653,0,0,0,692,School Fees,97,0,1,Low
Blessing E. Ndlovu,Transport,Logistics,598,4,0,0,985,Input Financing,100,0,3,Low
Panashe H. Ncube,Retail,Buyer,472,6,3,2392,1025,Small Business,66,64,4,High
Tatenda I. Mpofu,Retail,Shop Assistant,724,0,1,466,492,Solar Equipment,98,0,2,Low
Tapiwa Q. Bhebhe,Health,Pharmacist Assistant,1019,7,2,217,172,School Fees,94,14,3,Medium
Enock A. Sibanda,Health,Nurse,925,3,4,4139,1043,Asset Financing,70,109,3,High
Vimbai A. Mutasa,Health,Nurse,1883,3,1,208,299,Emergency,99,0,2,Low
Nyasha W. Tshuma,Retail,Shop Assistant,584,1,0,0,937,Asset Financing,97,0,3,Low
Gugulethu A. Masinga,Manufacturing,Line Supervisor,333,9,0,0,269,Medical,66,50,4,High
Anesu Q. Zuma,Manufacturing,Factory Hand,809,8,5,3835,851,Emergency,97,0,2,Low
Blessing L. Tshuma,Education,Department Head,1613,0,1,857,1133,Emergency,98,0,3,Low
Tendai F. Ndlovu,Education,Teacher,1028,2,3,2335,1111,Input Financing,99,0,3,Low
Simba E. Mpofu,Manufacturing,Line Supervisor,334,2,0,0,777,School Fees,99,0,1,Low
Chengetai Ncube,Public Sector,Admin Secretary,748,9,3,1756,579,Home Improvement,98,0,2,Low
Simba L. Masinga,Manufacturing,Welder,397,3,3,680,325,School Fees,97,0,2,Low
Simba L. Chikore,Retail,Merchandiser,484,3,1,600,535,Small Business,90,5,2,Medium
Njabulo M. Moyo,Retail,Shop Assistant,398,5,6,1907,303,Small Business,70,126,5,High
Tinashe U. Nyathi,Mining,Underground Supervisor,1600,1,2,1970,1039,Utility Debt,99,0,3,Low
Njabulo Moyo 69,Health,Nurse,1989,7,6,4594,641,Solar Equipment,86,25,2,Medium
Nyasha Chikore 70,Public Sector,ZIMRA Officer,612,0,0,0,338,Medical,60,142,5,High
Tinashe Mutambara 71,Health,Medical Officer,2030,5,6,4289,1191,Home Improvement,84,112,3,High
Enock B. Zhou,Manufacturing,Factory Hand,553,4,2,403,313,Solar Equipment,97,4,2,Low
Gugulethu Z. Mutasa,Health,Pharmacist Assistant,1472,10,6,4982,830,School Fees,93,16,3,Medium
Blessing U. Zuma,Manufacturing,Line Supervisor,526,10,6,2959,870,School Fees,96,0,1,Low
Vimbai K. Tshuma,Public Sector,ZRP Sergeant,761,1,0,0,868,Input Financing,97,0,2,Low
Tinashe J. Marembo,Transport,Truck Driver,877,1,1,665,889,Emergency,97,0,3,Low
Tendai N. Muzenda,Transport,Truck Driver,256,1,0,0,1176,Emergency,72,47,5,High
Kudakwashe V. Ndlovu,Mining,Underground Supervisor,1826,8,6,2395,355,Asset Financing,88,12,4,Medium
Takudzwa X. Maphosa,Transport,Kombi Driver,968,1,2,1299,1167,Small Business,86,17,2,Medium
Nomsa J. Mutasa,Public Sector,Teacher,777,2,2,805,597,Medical,96,0,1,Low
Takudzwa Zuma 72,Education,Department Head,1443,5,2,327,318,Home Improvement,100,0,1,Low
Chipo V. Makoni,Manufacturing,Factory Hand,718,0,0,0,636,Small Business,98,0,2,Low
Farai K. Moyo,Transport,Kombi Driver,601,1,0,0,992,School Fees,99,0,3,Low
Makanaka K. Dube,Agriculture,Tobacco Smallholder,755,5,1,875,847,Emergency,95,24,4,Medium
Rufaro S. Sibanda,Manufacturing,Factory Hand,342,2,2,1796,952,Emergency,98,0,3,Low
Farai F. Sibanda,Education,Department Head,1996,8,0,0,536,Emergency,86,26,3,Medium
Nyasha S. Sibanda,Health,Nurse,1355,3,0,0,409,Asset Financing,96,0,3,Low
Tendai Zhuwao 73,Transport,Logistics,819,5,1,551,675,Solar Equipment,99,0,3,Low
Njabulo Q. Zhou,Retail,Merchandiser,600,3,4,1012,242,Asset Financing,97,0,3,Low
Anesu D. Nyathi,Retail,Shop Assistant,494,4,0,0,723,Input Financing,96,0,1,Low
Kuda D. Maphosa,Agriculture,Agro-dealer,423,2,3,1918,689,Home Improvement,94,11,2,Medium
Blessing Phiri,Agriculture,Agro-dealer,431,8,1,227,375,Medical,100,3,1,Low
Rudo F. Zhuwao,Education,Lecturer,1507,7,3,447,193,Utility Debt,99,0,1,Low
Chengetai Q. Marembo,Mining,Underground Supervisor,1761,1,2,1805,839,Asset Financing,60,144,3,High
Tapiwa B. Muzenda,Transport,Truck Driver,529,3,1,658,885,Small Business,98,0,3,Low
Rudo Q. Khumalo,Public Sector,Teacher,823,5,2,377,296,Small Business,97,0,1,Low
Itayi O. Chidambaram,Agriculture,Farm Manager,690,0,1,812,834,Utility Debt,65,93,4,High
Kuda S. Makoni,Manufacturing,Line Supervisor,856,1,0,0,528,Home Improvement,98,0,2,Low
Chengetai Z. Moyo,Public Sector,Admin Secretary,367,0,0,0,445,Medical,95,8,3,Medium
Enock Muzenda 74,Public Sector,Teacher,575,3,2,291,232,Emergency,86,18,2,Medium
Nyasha U. Zhuwao,Manufacturing,Welder,464,5,6,936,201,Input Financing,99,0,2,Low
Tinashe Y. Ndlovu,Retail,Buyer,779,1,1,408,709,Asset Financing,95,23,3,Medium
Sizo Mpofu 75,Public Sector,ZRP Sergeant,625,10,6,7458,1131,Medical,97,0,3,Low
Takudzwa Makoni 76,Health,Nurse,1554,7,1,650,699,Home Improvement,55,122,4,High
Enock Z. Muzenda,Education,Lecturer,1511,8,4,763,355,Input Financing,95,25,3,Medium
Simba I. Zhuwao,Manufacturing,Line Supervisor,436,2,1,714,815,Medical,98,0,3,Low
Thabo E. Zhou,Health,Medical Officer,1188,0,0,0,527,School Fees,100,0,3,Low
Nomsa D. Madzima,Transport,Kombi Driver,330,3,4,3988,1042,Emergency,91,18,2,Medium
Njabulo J. Muzenda,Public Sector,Teacher,854,6,1,467,852,School Fees,96,2,2,Low
Rudo E. Zhou,Education,Lecturer,1768,1,1,239,342,Solar Equipment,72,45,5,High
Rudo C. Bhebhe,Public Sector,Customs Clerk,643,4,4,3072,733,Solar Equipment,98,0,3,Low
Simba U. Ndlovu,Health,Pharmacist Assistant,1923,8,4,4410,933,Input Financing,100,0,3,Low
Simba N. Chidambaram,Education,Teacher,1258,9,3,882,584,Medical,92,16,2,Medium
Tariro D. Marembo,Retail,Shop Assistant,767,8,2,994,539,Asset Financing,86,25,2,Medium
Panashe R. Dube,Agriculture,Farm Manager,549,5,2,979,644,Medical,96,0,1,Low
Tinashe Gumbo 77,Public Sector,Admin Secretary,982,7,1,787,783,Asset Financing,100,0,1,Low
Tatenda I. Madzima,Manufacturing,Line Supervisor,465,10,5,2110,382,Solar Equipment,98,0,2,Low
Tinashe R. Chuma,Health,Medical Officer,1775,10,5,1626,591,Small Business,99,0,2,Low
Njabulo X. Mpofu,Retail,Merchandiser,838,6,0,0,757,Small Business,54,107,4,High
Chipo Moyo,Public Sector,Teacher,997,1,2,1594,952,Input Financing,97,0,2,Low
Simba I. Zuma,Public Sector,Admin Secretary,774,5,1,549,500,School Fees,99,0,2,Low
Takudzwa Marembo 78,Mining,Driller,938,3,4,4154,1142,Emergency,92,11,3,Medium
Njabulo Z. Chikore,Agriculture,Agro-dealer,982,8,3,1509,780,Solar Equipment,72,148,4,High
Musa Chidambaram,Manufacturing,Welder,356,8,6,5851,930,Asset Financing,96,1,2,Low
Blessing N. Madzima,Public Sector,ZRP Sergeant,958,4,1,831,1059,Emergency,91,22,2,Medium
Nomsa L. Mwenje,Public Sector,Customs Clerk,645,6,1,427,693,Home Improvement,90,22,3,Medium
Farai Z. Madzima,Agriculture,Tobacco Smallholder,794,0,1,863,795,Utility Debt,98,0,3,Low
Blessing D. Mutasa,Transport,Kombi Driver,841,9,4,2208,613,Emergency,100,0,2,Low
Takudzwa G. Moyo,Mining,Driller,1820,0,1,660,586,Home Improvement,91,26,4,Medium
Tatenda C. Tshuma,Education,Principal,1508,7,5,1595,451,Utility Debt,99,0,2,Low
Kudakwashe T. Chikore,Transport,Kombi Driver,676,7,1,478,545,Solar Equipment,97,0,2,Low
Chipo P. Chuma,Retail,Merchandiser,421,7,1,1057,1104,School Fees,93,5,4,Medium
Dumisani C. Ncube,Retail,Buyer,357,0,1,208,180,Emergency,98,0,2,Low
Kudakwashe F. Chuma,Agriculture,Farm Manager,493,3,1,870,947,Input Financing,93,12,2,Medium
Blessing F. Maphosa,Retail,Buyer,543,8,4,992,422,School Fees,96,0,1,Low
Simba S. Makoni,Retail,Merchandiser,862,8,6,1459,377,Emergency,84,91,5,High
Anesu K. Masinga,Retail,Buyer,949,6,6,1986,389,Medical,97,3,3,Low
Chipo Y. Bhebhe,Mining,Driller,1312,10,0,0,356,Utility Debt,100,0,1,Low
Blessing B. Hlongwane,Mining,Shift Boss,1934,1,1,219,335,Asset Financing,97,0,3,Low
Tendai C. Zhou,Retail,Shop Assistant,360,7,4,2962,879,School Fees,100,1,2,Low
Munyaradzi Chuma 79,Retail,Merchandiser,571,3,1,478,675,Small Business,88,5,4,Medium
Takudzwa L. Zhou,Transport,Truck Driver,864,5,2,1525,1113,Solar Equipment,96,0,3,Low
Chipo U. Sithole,Health,Nurse,1912,0,0,0,658,Medical,96,0,2,Low
Kudakwashe R. Mwenje,Education,Lecturer,851,7,1,207,175,Home Improvement,97,3,3,Low
Sizo P. Masinga,Agriculture,Agro-dealer,317,6,2,1212,875,Utility Debt,97,0,3,Low
Blessing E. Zhuwao,Education,Principal,1219,4,0,0,1148,Solar Equipment,98,0,3,Low
Enock I. Maphosa,Mining,Driller,875,0,1,118,202,Home Improvement,61,140,5,High
Nyasha M. Dube,Mining,Driller,1310,2,3,1489,897,Utility Debt,99,0,1,Low
Gugulethu W. Hlongwane,Manufacturing,Welder,278,6,2,1764,1031,Medical,58,134,3,High
Nyasha E. Chidambaram,Transport,Kombi Driver,662,0,1,458,764,Medical,75,43,3,High
Tendai M. Chidambaram,Retail,Buyer,542,2,3,1837,1055,School Fees,99,0,1,Low
Takudzwa O. Dube,Health,Medical Officer,1788,1,2,284,257,Home Improvement,98,0,3,Low
Anesu T. Zhou,Retail,Buyer,587,9,3,986,460,Medical,99,0,2,Low
Tatenda A. Hlongwane,Transport,Logistics,304,4,2,1315,889,Asset Financing,94,22,2,Medium
Tatenda H. Gumbo,Education,Department Head,1259,10,6,6908,1057,Medical,87,24,4,Medium
Gugulethu L. Zhuwao,Agriculture,Agro-dealer,328,2,0,0,864,School Fees,88,7,2,Medium
Chipo R. Mpofu,Retail,Merchandiser,420,3,0,0,504,Asset Financing,99,0,2,Low
Njabulo D. Sibanda,Retail,Shop Assistant,901,5,0,0,635,Medical,99,0,2,Low
Tapiwa V. Dube,Agriculture,Farm Manager,850,6,5,4005,727,Asset Financing,96,0,3,Low
Takudzwa W. Hlongwane,Agriculture,Farm Manager,598,5,0,0,811,Utility Debt,100,0,3,Low
Tendai J. Phiri,Retail,Merchandiser,275,7,6,1989,403,School Fees,100,0,2,Low
Anesu O. Zhou,Agriculture,Agro-dealer,386,0,1,636,1057,Utility Debt,86,8,4,Medium
Chipo M. Gumbo,Retail,Merchandiser,701,2,1,986,859,Medical,98,0,3,Low
Sizo R. Gumbo,Retail,Buyer,753,7,2,748,506,Home Improvement,99,0,1,Low
Tatenda W. Mhlanga,Manufacturing,Line Supervisor,461,2,0,0,642,Input Financing,62,52,5,High
Tinashe Zhou 80,Agriculture,Farm Manager,808,7,0,0,396,Utility Debt,99,5,2,Low
Takudzwa Marembo 81,Health,Lab Tech,1883,1,1,272,464,Solar Equipment,52,91,5,High
Tatenda Masinga 82,Public Sector,Customs Clerk,411,10,0,0,1157,Emergency,89,9,2,Medium
Anesu Makoni 83,Agriculture,Tobacco Smallholder,458,10,2,1094,875,Home Improvement,97,0,1,Low
Itayi A. Makoni,Public Sector,Teacher,959,8,1,562,794,Utility Debt,99,0,1,Low
Sizo R. Zuma,Education,Department Head,1464,2,2,1542,778,Emergency,73,127,5,High
Chengetai X. Mutasa,Health,Nurse,965,9,2,1124,859,Solar Equipment,100,0,1,Low
Kuda X. Marembo,Mining,Driller,2068,10,3,1821,565,Home Improvement,99,0,3,Low
Dumisani A. Chuma,Public Sector,ZRP Sergeant,325,5,5,3796,1167,Asset Financing,98,0,2,Low
Rufaro L. Mutambara,Education,Principal,916,8,5,3328,912,Small Business,90,30,4,Medium
Takudzwa N. Zhuwao,Education,Teacher,986,4,3,813,539,School Fees,99,0,2,Low
Farai Maphosa,Public Sector,ZRP Sergeant,310,7,0,0,1078,Utility Debt,92,25,2,Medium
Tendai G. Maphosa,Retail,Merchandiser,744,10,3,2455,724,Small Business,86,23,2,Medium
Tendai O. Muzenda,Manufacturing,Welder,796,7,3,3615,1190,Home Improvement,92,14,3,Medium
Gugulethu G. Marembo,Retail,Merchandiser,855,10,6,6436,1013,Home Improvement,56,101,5,High
Tendai X. Mhlanga,Transport,Truck Driver,285,2,3,790,437,Solar Equipment,99,0,2,Low
Dumisani R. Chuma,Mining,Driller,1542,7,1,360,413,Asset Financing,99,0,1,Low
Sizo V. Zhou,Transport,Logistics,786,2,1,153,174,Solar Equipment,98,0,2,Low
Tendai N. Moyo,Manufacturing,Line Supervisor,258,5,2,570,258,Input Financing,91,17,3,Medium
Nyasha B. Maphosa,Manufacturing,Line Supervisor,718,0,1,1226,1186,School Fees,88,20,3,Medium
Musa I. Hlongwane,Transport,Logistics,412,5,1,298,573,Solar Equipment,53,90,4,High
Vimbai S. Tshuma,Agriculture,Farm Manager,373,4,1,206,279,Medical,95,10,2,Medium
Farai K. Khumalo,Health,Pharmacist Assistant,2181,4,0,0,851,Home Improvement,98,0,3,Low
Simba G. Zhuwao,Transport,Logistics,814,5,0,0,739,School Fees,84,54,3,High
Kudakwashe G. Phiri,Transport,Logistics,685,6,3,3239,1198,Medical,96,0,2,Low
Rudo X. Ndlovu,Manufacturing,Welder,600,9,6,3319,589,Home Improvement,93,24,3,Medium
Musa R. Madzima,Manufacturing,Line Supervisor,888,4,2,1111,605,Utility Debt,96,0,3,Low
Vimbai D. Phiri,Education,Principal,1493,1,2,703,321,Medical,94,23,4,Medium
Farai L. Zhuwao,Transport,Kombi Driver,966,8,6,2965,786,Small Business,51,81,3,High
Musa G. Muzenda,Public Sector,ZRP Sergeant,701,0,0,0,742,Solar Equipment,89,7,3,Medium
Enock Khumalo 84,Mining,Underground Supervisor,1996,8,3,2540,1125,Emergency,56,37,5,High
Kudakwashe U. Bhebhe,Education,Lecturer,1650,2,3,3099,1128,Small Business,59,91,5,High
Anesu Muzenda,Manufacturing,Factory Hand,486,9,2,595,482,Asset Financing,79,75,4,High
Rudo R. Madzima,Education,Department Head,1432,8,2,1154,528,Utility Debt,92,27,3,Medium
Musa X. Makoni,Transport,Logistics,896,6,5,2782,598,Emergency,95,17,4,Medium
Farai Q. Makoni,Health,Lab Tech,1888,8,2,510,474,Utility Debt,70,123,3,High
Gugulethu R. Mpofu,Agriculture,Agro-dealer,890,2,0,0,374,Utility Debt,95,15,2,Medium
Tatenda X. Sithole,Agriculture,Agro-dealer,906,1,1,292,514,Medical,85,103,5,High
Rudo F. Masinga,Health,Nurse,1826,3,1,830,1033,Home Improvement,95,17,2,Medium
Gugulethu Q. Marembo,Manufacturing,Welder,933,9,1,1168,977,School Fees,100,0,1,Low
Itayi R. Sithole,Education,Principal,1518,5,3,335,209,Utility Debt,87,16,3,Medium
Anesu S. Sibanda,Transport,Logistics,510,1,0,0,1036,Asset Financing,94,5,3,Medium
Anesu F. Chidambaram,Agriculture,Tobacco Smallholder,428,10,5,3613,697,Small Business,100,0,1,Low
Tendai H. Chidambaram,Public Sector,Admin Secretary,886,9,6,1159,270,Utility Debt,91,6,3,Medium
Farai R. Mwenje,Health,Pharmacist Assistant,1177,4,0,0,944,Medical,92,22,4,Medium
Rufaro H. Mwenje,Health,Pharmacist Assistant,1600,3,2,1695,1180,Small Business,98,0,1,Low
Itayi M. Madzima,Retail,Buyer,666,6,2,938,828,Utility Debt,95,5,3,Medium
Anesu B. Zuma,Retail,Merchandiser,427,7,4,582,226,Medical,97,0,2,Low
Sizo U. Mpofu,Public Sector,ZRP Sergeant,970,5,3,2631,970,Asset Financing,54,146,3,High
Chipo Chidambaram 85,Public Sector,Customs Clerk,740,10,6,1631,431,Medical,97,0,1,Low
Kuda K. Mutasa,Transport,Kombi Driver,715,1,1,218,225,School Fees,86,15,4,Medium
Dumisani E. Ncube,Public Sector,Admin Secretary,476,3,0,0,159,Small Business,100,0,2,Low
Nomsa Zuma,Retail,Merchandiser,532,2,1,658,915,Home Improvement,55,121,3,High
Rudo B. Madzima,Transport,Kombi Driver,591,0,1,1115,954,Medical,90,30,4,Medium
Njabulo K. Mutasa,Transport,Truck Driver,431,7,5,1043,256,Utility Debt,92,28,2,Medium
Thabo B. Maphosa,Manufacturing,Factory Hand,572,6,3,1538,570,Medical,91,20,3,Medium
Tendai G. Sithole,Public Sector,ZRP Sergeant,250,0,1,596,741,Small Business,97,0,2,Low
Anesu A. Maphosa,Transport,Truck Driver,866,2,2,1399,939,Emergency,79,79,3,High
Rufaro T. Mpofu,Agriculture,Tobacco Smallholder,583,2,1,476,827,Medical,100,0,1,Low
Itayi A. Mwenje,Transport,Kombi Driver,716,10,1,450,407,Emergency,95,26,4,Medium
Nomsa F. Mutambara,Retail,Shop Assistant,469,0,1,432,378,Medical,98,0,1,Low
Gugulethu F. Sithole,Mining,Underground Supervisor,1270,2,3,1433,411,Small Business,97,0,3,Low
Chengetai P. Mpofu,Retail,Shop Assistant,961,9,6,6115,1046,Utility Debt,93,30,3,Medium
Njabulo L. Phiri,Agriculture,Tobacco Smallholder,737,8,4,3326,869,Asset Financing,95,12,2,Medium
Nomsa D. Ndlovu,Retail,Shop Assistant,632,3,0,0,347,Solar Equipment,87,9,2,Medium
Nomsa F. Zhuwao,Mining,Shift Boss,1612,6,0,0,891,Home Improvement,98,0,2,Low
Takudzwa M. Sithole,Agriculture,Tobacco Smallholder,540,0,1,626,627,Input Financing,77,32,4,High
Dumisani A. Madzima,Agriculture,Agro-dealer,814,1,2,2187,956,Small Business,100,0,2,Low
